PartID,Description,Location,Stock
137661,Switch Micro Door Closed & Leading Edge,602-003,1
137685,Sensor Photo-Elec P/W,602-002,1
137707,Trap Air & Steam 15mm Brass,602-019,2
136072,Ribbon Cartridge Centenary Sterilizer Innova M4 M5 M5ISO Dragon,602-013,2
136098,Nut Lock S/S 3/8 Bsw.,602-018,4
137047,"Valve Float 3/8 with 3"" PVC Hot Water Ball (White)",602-011,1
137435,"Valve Pressure Control Brass 1""",602-030,1
137491,"Valve Ball 1"" S/S for Motorized Valve",602-009,1
135907,Transducer Pressure Wika S/S,602-060,1
135935,Socket Contact Female 66101-2,602-026,58
135936,Pin Contact Male 66099-2,602-026,35
135947,Transmitter Rtd Type,602-004,2
133480,Switch Pressure Asco Hc20A224,602-027,0
133482,Switch Pressure Auto Door,602-027,1
133561,Bush Reducing Brass 1 X 3/4,602-022,1
133628,Piston BR 1/2 Ball Float Valve,602-011,1
134560,Cover M/Switch PVC,602-003,8
134752,Thermocouple Tm Et 310K,602-025,1
134849,"Valve Float Watermark 1/2 with 4"" PVC Cold Water Ball (Black)",602-011,1
134877,Thermostat E.G.O. 30 - 110 deg C,602-001,1
135005,Fan Compact Axial Controls,602-014,1
135122,Actuator Zaq-2 Auxillary,602-003,2
135766,Gasket For Mobrey Float Contro,602-029,0
133241,"Valve Ball S/S 1/2"" Suitable For Steam",602-028,1
133242,Valve Ball 3/4 Suitable For Steam 2 piece,602-028,1
024458,Wheel Carriage Lassie,602-017,4
130609,Union Brass 3/4 M X 1 C,602-022,1
130611,Union Brass 3/4 F X 3/4 C,602-022,1
130613,Union Brass 3/4 M X 3/4 C,602-022,1
130617,Union Brass 1/2 M X 3/4 C,602-022,4
130619,Union Brass 1/2 F X 1/2 C,602-022,2
130621,Union Brass 1/2 M X 1/2 C,602-022,4
130639,Elbow Brass 1 M X 1 C,602-022,1
130651,Elbow Brass 1/2 M X 3/4 C,602-022,1
130655,Elbow Brass 1/2 M X 1/2 C,602-022,2
130656,Elbow Brass 1/2 F X 1/2 C,602-022,3
130671,Nipple Brass Reducing 1/2 X 3/8,602-022,2
130686,Socket Brass Hex 3/4 BSP,602-022,1
130716,Tee Brass 3/4 Fi,602-022,1
130793,Bush Reducing Brass 3/8 X 1/8,602-022,3
130930,Tee Brass 1/4 C X 1/4 C X 1/4 C Petrol,602-022,1
131123,"Strainer Steam 1/2"" S/S Y Type",602-060,1
131282,Anode Magnesium S/G,602-016,2
131615,Gauge Compound 80mm Dia 100-0-500,602-008,1
131775,Valve Solenoid Steam 3/8,602-020,2
131980,Gasket Door Manual Blue N.393-Se1057,602-024,6
132016,Switch Micro Burgess Crimr Long (OBS - Use 137467),602-003,4
132168,Valve Solenoid Steam 3/4 - individually boxed,602-019,3
132175,Filter Air Domnick Hunter Zgpb.01V,602-016,2
132202,Relay 2 Contact 240 Volt 2-13R,602-003,2
132217,Base Relay 2-13R 2C,602-003,2
132220,Fuse Holder Type Fc32Fw,602-015,2
132222,Fuse 10 Amp Hrc Cartridge,602-015,5
130053,Switch Micro SPDT 15A240V W Drip Cover,602-003,7
130131,Connector Bp1,602-026,11
025260,Label Button Board Rh No Laser,602-006,2
025094,PCB Button Board Lh L5 L6 L9 At1012L,602-006,2
025095,PCB Button Board Rh L5 L6 L9 At1012R,602-006,2
025096,PCB Button Board Spacer L5 L6 L9,602-006,5
025097,Label Button Board Lh L5 L6 L9,602-006,5
025098,Label Button Board Rh L5 L6 L9,602-006,3
022249,Gauge Compound Tangent ABS Panel,602-008,1
022966,Cable Leading Edge T9 Series,602-018,1
011390,Bush Reducing Brass 1/2X 3/8,602-022,3
011915,Gasket Steam Generator 305 Dia SG30-75,602-024,1
022434,Gasket Steam Generator T4,602-029,2
022468,Reducer 8Msl X 1/2Tube 8 Bore,602-022,3
014163,Element Panwasher 005 Model,602-012,1
020835,Wheel Carriage Recess 65mm,602-017,4
022533,Gasket Steam Generator T5 T6 & T9,602-029,2
022033,Seal Thermocouple Gland Fitting,602-060,20
010057,Nipple Brass Hex 1/2 BSP,602-022,1
010231,Strainer Chamber Sterilizer,602-016,2
010240,Nipple Brass Hex 3/4,602-022,1
138896,Filter Water Cartridge Softener Tangent,602-026,3
138896,Filter Water Cartridge Softener Tangent,602-060,1
139378,Tee Brass Branch 16mm Hose X 1/2 BSP,602-060,2
139394,PCB Drying Cabinet Triac,602-060,1
139396,Nut & Tail Brass 6mm Hose X 1/2 BSP,602-060,1
139398,Gasket Spray Nozzle Duck,602-060,1
137888,Sensor Proximity Door,602-003,1
138927,Thermocouple Lead Chamber,602-025,2
138929,Bolt Hex S/S M8 X 55mm Bumax 316 10.9,602-029,16
139413,Gasket Element Panwasher Duck Series,602-011,0
138960,Fuse 8 Amp Door Driver Tangent/Cyber,602-001,4
139455,Cable M12x4 A-Coded Sockets One End 2m,602-003,4
138001,"Valve Pressure Control Brass 1/2""",602-030,1
139469,"Valve Motorized 1"" BSP S/S Ball 3-Way",602-060,1
139474,Solenoid Trolley Rail Lock,602-006,2
139476,Switch Micro Short Roller Lever Lassie,602-006,5
139030,Battery PLC CQ/CJ CPM2A-BAT01,602-060,2
830327,Tape Teflon Premium Pink 15Mr,602-021,5
138444,Valve Solenoid Steam 1/2 - individually boxed,602-010,2
138449,Valve Solenoid 1/4 Water Tangent,602-010,1
139083,Pump Steam Generator S/S,602-009,1
138454,Valve Solenoid 1/4 Steam Tangent,602-010,1
138466,Valve Check 3/8 Steam Tangent (139981),602-007,16
139126,Filter Disposable Drying Cab,602-014,7
139132,Power Supply 5Vdc 6A 30W,602-060,1
139135,Tee S/S Branch 1/4 Sl X 1/4 M,602-022,1
139610,Loctite Nickle Anti Seize LB 771 450G,602-001,1
138486,Tube Pfa 1/4 Dia,602-023,2
138487,Tube Pfa 3/8 Dia,602-023,0
138488,Tube Pfa 1/2 Dia,602-023,1
139141,Union S/S 1/2 Sl X 1/4 M,602-060,1
139143,Connector Port S/S 1/2 X 1/2 Sl,602-060,2
139145,Union S/S 3/4 Sl X 1/2 F,602-060,2
139146,Tee S/S Running 1/2 Sl X 1/2 M,602-060,1
139150,Tee S/S 1/2 Sl,602-022,1
139154,Elbow S/S 1/4 Sl X 1/4 M,602-022,2
139158,Adapter S/S 1/2 Tube X 3/8 M,602-022,1
138593,Rtd 80 X 6 S/S Tangent Drain & Jacket,602-004,1
139167,Plug S/S 3/8 Hex Head,602-022,4
139171,Elbow S/S 3/4 Sl X 3/4 Sl,602-022,4
830825,Ferrule Brass 1/4 Hylok,602-022,2
830826,Ferrule Brass 3/8 Hylok,602-022,20
830827,Ferrule Brass 1/2 Hylok,602-022,7
139198,Fuse 2 Amp Glass 5 X 20,602-003,5
139199,Fuse Holder 5 X 20 Din Rail,602-003,3
139678,Valve Directly Operated Solenoid - N.C.,602-027,2
139681,"Valve Pneumatic 1/2"" S/S Steam NC",602-060,2
138674,Thermostat Tangent Generator 50-320 Deg,602-001,1
139715,"Valve Pneumatic 3/4"" S/S Steam NC",602-022,1
139733,Trap Air & Steam 15mm S/S,602-060,3
139281,Filter Water Cartridge Tangent,602-026,1
139791,Nipple S/S Hex 3/4,602-022,2
139833,Bolt Hex S/S M10 X 55mm Bumax 316 10.9,602-029,8
139297,Element P/W Duck,602-060,0
139305,Plug Solenoid,602-019,22
139852,Bush Reducing S/S 3/4 F X 2 M,602-060,4
139853,Union S/S 1/2 Sl X 3/4 M,602-060,1
139854,Tee S/S Running 3/4 M X 12mm Sl X 1/2 Sl,602-060,2
139855,Adapter S/S 3/4 Tube X 1/2 F,602-022,2
830949,Ferrule Brass 3/4 Hylok,602-022,13
830956,Ferrule Brass 1 Hylok,602-060,8
830957,Ferrule Teflon 1/4,602-001,9
138798,PLC Power Supply CJ1W-PA202,602-060,1
139874,Plug S/S 3/4 BSP Square Head,602-022,4
139877,Rtd 190 X 6 S/S Pt100 1/2 BSP 7M,602-004,4
139884,Plug S/S 1/4 Hylok,602-022,4
139887,Plug S/S 1/2 BSP Square Head,602-022,4
137821,Thermocouple K Type Probe,602-004,1
137822,Thermocouple K Ty Probe 3/8BSP,602-004,2
138820,Relay LY2N 240VAC DPDT 10A,602-060,1
138838,Union Brass 3/4 Sl X 3/4 M,602-022,1
137872,Switch Horizontal Float,602-060,1
138853,Tee Brass 3/4 Sl,602-022,1
138873,Valve Safety 1/2 Hero Tang 260,602-007,1
BHT21970.00/9,Hose Dosing Pump All Models,602-009,3
BHT22078.00/9,Valve Water Single,602-020,1
GET025,Gasket Door Ge 510/20,602-060,2
GET027,Gasket Door Ge 660 X 660,602-060,1
BHT13523.17,Battery For Microprocessor All Models,602-060,1
140008,Pump Vacuum X66 Tiger And Chipmunk,602-060,0
140009,Plug S/S 1/4 BSP Hex Head,602-022,4
140012,"Valve Pneumatic 1/2"" S/S Steam NC Small",602-023,1
139946,Valve S/S Check 1/2 Tube,602-022,1
139756,Union S/S 1 Sl X 3/4 M,602-060,1
139789,Nipple S/S Hex 1/2 Bsp,602-022,1
139948,"Valve Pneumatic 1"" S/S Steam NC",602-060,1
139957,Spring Gasket Door 55 Jerboa/Mongoose,602-023,2
139958,Spring Gasket Door 66 Chipmunk/Tiger,602-023,4
139959,Spring Gasket Door 96 Chinchilla/Gorilla,602-023,3
139960,Gasket Door Round 55 Jerboa/Mongoose,602-023,2
139961,Gasket Door Round 66 Chipmunk/Tiger,602-023,6
139962,Gasket Door Round 96 Chinchilla/Gorilla,602-023,6
139759,Union S/S 1/2Sl X 3/8M,602-060,1
139775,Adapter S/S 1/4 Tube X 1/4 M,602-060,2
139976,Spring Gasket A/Door 900 Series-93,602-023,2
139980,Gasket A/Door Round 900 Series-93,602-023,1
140035,Elbow Swivel M5 X 4 Dia Rapid Fitting,602-027,5
140157,Valve Solenoid Pilot Pneumatic N.C. Retrofit,602-027,1
BHT20212.01,Spring for Door with Glass M4,602-060,2
DRAGON-011,Large & Small Valve O-Ring,602-060,2
140053,Insert S/S 1/2 Tube,602-001,4
BHT14088.00,Front Glide Ledge (Straight),602-060,3
140167,Kit Internal set for Trap Air & Steam S/S 15mm,602-019,10
BHT29007.24,"Relay Phoenix Contact 24V, 1W, 6A MR- 24DC/21",602-009,1
830972,Ferrule S/S 1/2 Hylok,602-060,10
830975,Ferrule S/S 12mm Hylok for Generator Float,602-022,20
BHT14116.40,Water Flap M5/ISO,602-060,1
BHT 14089.00,Glide Ledge (Angled),602-060,6
140101,Validation Lead T-Type,602-060,3
140102,Plug T-Type,602-060,12
025840,Washer Expanded Neoprene Sponge 14 OD x 3.5 ID,602-006,4
140109,"Ball 4"" PVC Cold Water (Black) for p/n 134849",602-011,1
025912,Kit Retrofit Brass Upgrade P/W,602-060,1
140181,Battery PLC CJ2 CJ1W-BAT01,602-060,1
BHT11962.63,"Cap for Jet Arm Series 5,4,3",602-009,2
140258,Plug S/S 1/2 Hylok,602-022,4
140260,Plug S/S 3/4 Hylok,602-022,5
140261,"Plug S/S 1"" Hylok",602-022,2
BHT13801 10,Teflon Bearing for Innova Spray Arm,602-009,11
